,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,R,"Ébano, palo freno, tubchi",Ebano,Fabaceae,Caesalpinia sclerocarpa,Árbol,Aparasolada,Hasta 18.00 m,7.00-14.00 m,0.50 m,"Compuestas, bipinnadas, paripinnadas,  de 3 a 4 pares de foliolos elípticos de 0.01 m de largo",Foliolos con margen entero,Verde oscuro,"Flores compuestas. Flor de 5 pétalos, anteras prominentes",Amarillas con pintas rojizas,Marzo-mayo,Vaina aplana (legumbre) corta y leñosa de 0.06-0.08 m de largo,Marrón rojizo,Abril,Café claro a blanquisco moteado,Lisa,"Bosques secos, borde de caminos. Crece de 0 a 1500 metros de altitud.",Pleno sol,Bajo a moderado,Moderado a lento,Caducifolio,"Originario de la Región Caribe Colombiana. En el occidente de México se escuentra distribuida en Manzanillo, Tecomán, Cihuatlán, La Huerta, Puerto Vallarta, Tomatlán y Santiago Ixcuintla (6).","Sirve de ramoneo a los bovinos. 
Fijadora de nitrógeno. 
Su copa reducida proyecta una sombra difusa que permite el crecimiento de gramíneas.","Adecuado para fines ornamentales y sombra. Su madera muy usada en ebanistería, siendo exportada a Europa con el nombre de ébano por su parecido con el ébano Africano (Diospyros sp.). Es apropiado para separadores de avenidas, parques, corredores viales, cerros y zonas verdes en general. Su madera casi negra es dura y pesada, muy apreciada en la elaboración de artesanías.",No hay evidencia de toxicida. Las hojas secas se desprenden en folíolos pequeños y delgados que se descomponen rápidamente sobre el suelo.,Suelo bien drenado,Para dar forma si es necesario,Poco a moderado,No necesaria," Inspeccione los árboles durante la temporada de crecimiento para insectos comunes que chupen el jardín, como áfidos, trips, moscas blancas o psílidos.",Se asocia bien con palmas,Semillas,Se debe ubicar en sitios sin restricción en altura y retirados por lo menos 5 metros de edificaciones.,Profunda,-,
,,https://www.naturalista.mx/taxa/280745-Caesalpinia-sclerocarpa,http://enciclovida.mx/especies/188325-caesalpinia-sclerocarpa,https://es.wikipedia.org/wiki/Caesalpinia_ebano,https://catalogofloravalleaburra.eia.edu.co/species/30,http://m.elnuevodia.com.co/nuevodia/especiales/septimo-dia/169140-el-ebano-del-caribe-colombiano,6.http://www.cucba.udg.mx/sites/default/files/boletin_botanica/Boletin_del_Instituto_Botanica_vol_7.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Ébano de Texas,"Texas ebony, ebony blackhead, ape's earring",Fabaceae ,Ebenopsis ebano,Árbol,Redondeado,4.00-15.00 m,4.00-8.00 m,0.8 m,"Compuesta: bipinadas, dispuestas a lo largo de ramas espinosas con un patrón distintivo de zigzag.",Foliolos con margen entero,Verde oscuro,"Las flores, tienen forma de estrella, alcanzan 5 cm de largo. Florecen en forma de espiga.",Amarillo cremoso,Junio -julio y de octubre-noviembre.,"Vaina leñosa, con 6 a 12 semillas, cada una con una marca lineal en forma de herradura.",Marrón oscuro,Diciembre-marzo,Marrón oscuro,Fisurado. Tiene espinas en las ramas,"Planicies costeras, matorral alto, palmar, pastizal arbosufrutescente, bosques secos de chaparral y en los lavados del desierto",Pleno sol a sombra parcial,Bajo,Lento,Semicaducifolio (la caída de las hojas es de marzo hasta principios de mayo),Originario de la costa occidental del Golfo de México,Las abejas melíferas producen una miel clara con su nectar y pólen.,"Se utiliza para plantaciones de restauración y reforestación. Su madera se usa en edificaciones rústicas rurales y en la fabricación de mobiliario, mangos para cuchillos finos, construcciones marinas, poleas para uso industrial, pisos industriales, artículos decorativos. Asimismo se emplea en la producción de carbón de excelente calidad. Se le cultiva en los ranchos deliberadamente porque proporciona sombra y forraje al ganado. Semilla comestible","Se puede confundir con árboles de la especie Diospyros ebenum, originarios de la India y cuyo nombre común también es ébano.  La semilla requiere escarificación previa para su germinación.","Prefiere los suelos profundos y llanos, arcillosos y frecuentemente con una capa de arcilla impermeable a poca profundidad y con problemas de drenaje. El deshierbe continuo de los pasillos y al interior de los envases que contienen las plantas evitará problemas de competencia por luz, agua y nutrientes; además favorecerá condiciones de sanidad. Es importante tener cuidado con el número de plántulas o estacas que se encuentran ","Para dar forma. Solo déjalo ir salvaje. Sin embargo, puede ser podado para convertirse en un árbol de sombra de tallos múltiples. ",El riego en verano profundo dos veces al mes aumentará la tasa de crecimiento.,La aplicación de fertilizantes nitrogenados tanto químicos como orgánicos no ha producido resultados positivos y consistentes ,"Las vainas y semillas son susceptibles a daños por insectos brúquidos Algarobius prosopis, que se desarrollan durante su etapa larval en las semillas. También es atacado por Chlorochroa ligata y ácaros Tetranychus pacificus. Sufre además la incidencia de hongos Cercospora prosopidis, Leveillulla taurica, Phymatotrichum omnivorum.","Fraxinus americana, Fraxinus greggii, suculentas y agavaceas",Semillas,"Por lo menos un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas",Profundas,LC (Preocupación menor),
,,https://www.naturalista.mx/taxa/139185-Ebenopsis-ebano,http://www.conafor.gob.mx:8080/documentos/docs/13/919Ebenopsis%20ebano%20.pdf,http://www.mswn.com/media/info_sheets/ebenopsis_ebano.pdf,http://tropical.theferns.info/viewtropical.php?id=Ebenopsis+ebano,http://johnwagman.com/rgvnp/Texas%20Ebony%20-%20Ebenopsis%20ebano/,http://www.bloomingatacademyvillage.org/wp-content/uploads/2016/06/The-Weekly-Plant-28-June2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboles,R,"Huanacaxtle, árbol de las orejas, guanacaste","Ear pod tree,  elephant's ear, earpod, mexican walnut, mulatto ear, monkey ear, pichwood", Fabaceae,Enterolobium cyclocarpum,Árbol grande,Extendida,20.00-30.00 m (hasta 45.00 m),"Varía con la disponibilidad de agua. Mínimo 15 m


",Hasta 3.00 m Dap,Compuestas:  bipinnadamente con folíolos opuestos,Foliolos con margen entero,Verde brillante, En pequeñas cabezuleas globulares ,Blancas verdosas, Febrero - junio,Vaina con forma de oreja,Café oscuro,Febrero a abril, Gris,"Lisa, a veces algo fisurada ",Se desarrolla en regiones costeras del país y a lo largo de ríos y arroyos. Su hábitat propicio es de baja elevación (por debajo de los 500 m). ,Pleno sol,Moderado,Rápido,Caducifolio. Pierde las hojas cuando fructifican,América tropical y subtropical.," La polinización es llevada a cabo por palomillas y abejorros de actividad nocturna.  Simbiosis micorrícica con Glomus aggregatum. Flores fragantes que atraen insectos. Ganado y mamiferos silvestres dispersan las semillas.

","Restauración, ornamental, barrera rompevientos, sombra, refugio, cerca viva, gomas, artesanal, carbón, leña. En algunos sitios se consumen las semillas en salsas y sopas y como sustituto de café, es medicinal, entre otros."," Solo debe plantarse en sitios donde exista agua en abundancia, de preferencia donde se cuente con agua tratada o en los bancos de cuerpos de agua. El árbol de mayores dimensiones en Hermosillo es un Huanacaxtle, ubicado en el estacionamiento del campus administrativo de la Universidad Estatal de Sonora. Es el árbol nacional de Costa Rica desde el 31 agosto de 1959. Es componente frecuente de la vegetación perturbada de las zonas tropicales húmedas y subhúmedas de baja altitud en México y Centroamérica.  ","Las plantulas no son muy competitivas por lo que se requiere plantar en buenas condiciones de humedad del suelo y realizar deshierbes periódicos. Bajo condiciones de plantación, la forma del tronco se puede mejorar mediante podas.",Poda ocasional,"Mantenga húmedo el sustrato durante la germinación, sin exceso ni deficiencia de agua, utilice implementos de gota muy fina o nebulización para que no se destape la semilla.","No use fertilizantes, gallinaza ni humus para la germinación. Pueden extraer nitrógeno del aire, esta habilidad significa que no necesitan fertilización regular. 

","No parece presentar ninguna enfermedad o plaga de insectos seria, aunque puede presentar daño por insectos (madera), por termitas (madera cosechada). Las hojas son consumidas por la larva de la polilla (Coenipita bibitrix).",Árbol de sombra ideal para cultivos perennes como el café,Semillas,Se requiere plantar en buenas condiciones de humedad del suelo,Profundas: Sistema radical extenso y profundo.,LC (Preocupación menor),
,,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/41-legum16m.pdf,http://biogeodb.stri.si.edu/bioinformatics/sarigua/species/45,http://treeworldwholesale.com/es/arboles/481-enterolobium-cyclocarpum.html,http://www.fundesyram.info/biblioteca.php?id=2389,file:///C:/Users/Biblio/Downloads/Enterolobiumcyclocarpum%20(2).pdf,"https://sheffields.com/seeds-for-sale/Enterolobium/cyclocarpum///////699122//Monkeysoap,-Elephant-Ear-Tree,-Guanacaste",http://elsemillero.net/nuevo/semillas/listado_especies.php?id=76,http://www.nzdl.org/gsdlmod?e=d-00000-00---off-0hdl--00-0----0-10-0---0---0direct-10---4-------0-1l--11-en-50---20-about---00-0-1-00-0--4----0-0-11-10-0utfZz-8-00&a=d&c=hdl&cl=CL2.14.7&d=HASH011ec19a37bb817d72319187.6#HASH011ec19a37bb817d72319187.6,https://www.gardeningknowhow.com/ornamental/trees/earpod-tree/enterolobium-ear-tree-info.htm,http://www.tropical.theferns.info/viewtropical.php?id=Enterolobium+cyclocarpum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Palo dulce,"Kidneywood, tahitian kidneywood ",Fabaceae,Eysenhardtia orthocarpa,Árbol pequeño o arbusto,Irregular,3.00 - 6.00 m,2.00 - 4.00 m,0.07-0.25 m,"Compuestas, alternas, pinnadas, 3 a 5 cm de largo, folíolos 10 a 15 pares por hoja, elípticos, 7 a 13 mm de largo por 3 a 5 mm de ancho, con glándulas resinosas aromáticas presentes.",Foliolos con margen entero,Verde claro,"Flores pequeñas en racimos terminales, zigomorfas",Blanco,Mayo-agosto,"Vaina delgadas de aproximadamente 8 cm, plana oblonga e indehiscente de 1 semilla.",Verde,Mayo-agosto,Café grisáceo,Lisa o escamosa,"Crece de forma natural en cursos de agua, laderas de cañón y laderas donde el agua de verano está disponible periódicamente.  Laderas rocosas, llanuras aluviales, laderas de cañón y laderas, donde periódicamente se dispone de agua. ",Pleno sol,Bajo,Moderado,Semicaducifolio,"Sur de AZ, Sonora","Es fuente de alimento para abejas, mariposas, ciervos y cabras. ","La madera de Eysenhardtia Orthacarpa puede usarse para extraer tintes, artesanal, ornamental","Las flores tienen fragancia, prefiere suelos secos y bien drenados.",Mantenimiento mínimo.,Se puede podar de vez en cuando para fomentar una forma de crecimiento más compacta y fomentar más floraciones. ,1 o 2 veces por semana,"Technigro: contiene azufre soluble, lo cual promueve una nutricion balanceada al tiempo que ayuda a prevenir deficiencis de azufre",Susceptible a ramoneo del ganado,"Acacia spp., Agave spp., Opuntia spp., Prosopis spp., Fouquieria spp., Heliocarpus sp., Tecoma stans, Hyptis
","Semilla, esqueje",El tiempo en que alcanza la talla óptima para su trasplante es de 4 meses,Poco profundo y extendida,LC (Preocupación menor),
,,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/28-legum18m.pdf,http://www.aridzonetrees.com/assets/eyorth-06.pdf,https://delange.org/Kidneywood/Kidneywood.htm,"http://southwestdesertflora.com/WebsiteFolders/All_Species/Fabaceae/Eysenhardtia%20orthocarpa,%20Tahitian%20Kidneywood.html",https://cals.arizona.edu/yuma/plant_index/eysenhardtia_orthocarpa.htm,,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=803,https://plants.usda.gov/factsheet/pdf/fs_eyte.pdf,http://tropical.theferns.info/viewtropical.php?id=Eysenhardtia+orthocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Mauto, tepemezquite",Mauto,Fabaceae,Lysiloma divaricatum,Árbol,Extendida,3.00-20.00 m,Hasta 20.00 m,0.5-0.7 m (1.00 m),Compuestas: bipinnada,Foliolos con margen entero,Verde claro, Inflorescencias cabezuelas axilares. Perfumadas,Blanco,Junio-septiembre,"Vaina aplanada, valvas membranáceas",Verde y marrón cuando se secan,Julio-noviembre,Grisácea,Escamosa-fisurada,"Especie común, se encuentra en los bosques perennifolios y caducifolios, zonas pacífica y norcentral; a una altitud de 10–1600 metros. Arbolado, rocoso, a orillas del arroyo o en laderas secas y arbustivas",Pleno sol,Bajo a moderado,Lento,Caducifolio (Estado reposo: noviembre - abril),Desde México a Costa Rica.,"Esta especie tiene una relación simbiótica con ciertas bacterias del suelo; estas bacterias forman nódulos en las raíces y fijan el nitrógeno atmosférico. Parte de este nitrógeno es utilizado por la planta en crecimiento, pero también puede ser usado por otras plantas que crecen en las cercanías. ","En Sonora, se aprovecha la corteza de este árbol para curar heridas y llagas. Agroforestales: Abono verde, cercas vivas, cultivos mixtos (maíz), plantaciones energéticas. Industriales: De la corteza planta se extraen taninos que se usan en la industria de la tenería. La madera se utiliza para construcciónes rústicas (horcones) y pesadas (traviesas para vías férreas), para postes de cercas, instrumentos musicales, pisos, duelas, contrachapados y como combustible (leña).","Factores limitantes: Pendientes elevadas en áreas secas o con pobre infiltración, pH < 5, suelos mal drenados, susceptible al fuego (7). Control de la erosión, estabilización de cauces fluviales, protección de mantos acuíferos, recuperación y enriquecimiento de suelos (al ser una especie fijadora de nitrógeno), restauración de áreas degradadas. ",Remover retoños como sea necesario.,Solo cuando sea necesaria para dar forma,1 o 2 veces al mes,No use un fertilizante de nitrógeno.,Pudrición de raices,"Gran contraste de textura cuando se plantan cerca de las formas puntiagudas de agave y cactus. Se adaptan a las plantaciones de jardín del suroeste de E.U.A. junto con palo verde, mezquite y sauces del desierto.",Semillas,Las plántulas necesitan pasar de 11 a 13 semanas en el vivero antes de su traslado al campo. La plantación debe hacerse al comienzo de la estación lluviosa,Profundas,LC (Preocupación menor),
,,https://www.naturalista.mx/taxa/287647-Lysiloma-divaricatum,https://www.especiesrestauracion-uicn.org/data_especie.php?sp_name=Lysiloma%20divaricatum,file:///C:/Users/Biblio/Downloads/lysiloma_divaricatum.pdf,http://tropical.theferns.info/viewtropical.php?id=Lysiloma+divaricatum,https://books.google.com.mx/books?id=2_YXlFAj458C&pg=PA70&lpg=PA70&dq=lysiloma+divaricatum+common+name&source=bl&ots=Z00JrxlsXW&sig=oQSU7T4TOJmtKJXcoAMKBX6BPIU&hl=es&sa=X&ved=2ahUKEwiuh7SX3_jdAhVEmK0KHZvlBugQ6AEwDXoECAUQAQ#v=onepage&q=lysiloma%20divaricatum%20common%20name&f=false,http://biblioteca.inifap.gob.mx:8080/xmlui/bitstream/handle/123456789/3026/Guiaspropagacion.pdf?sequence=1,7. file:///C:/Users/BiblioCaja/Downloads/lysiloma_divaricatum.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Tepeguaje,"Feather bush, desert fern, littleleaf false tamarind",Fabaceae ,Lysiloma watsonii,Árbol o arbusto de copa redondeada,Extendida,7.00 - 15.00 m,7.00 - 10.00 m,0.20 - 0.50 m,Compuesta: bipinada,Foliolos con margen entero,Verde claro,Las flores son espigas densas de forma globosa,Crema,De octubre a abril (Otoño a primavera),"Vaina alargada y aplanada con la punta aguda, su textura es aterciopelada","Primero verde, después pasa a marrón oscuro",Abril-septiembre (Primavera-verano),Marrón oscuro,Agrietada y escamosa,Laderas rocosas en el desierto superior,Pleno sol a sombra parcial,Bajo ,Moderado ,"Semicaducifolio (Estos árboles pierden sus hojas entre enero y marzo, antes de florecer)","Arizona, Estados Unidos y Sonora, México","Atrae mariposas, provee semillas nutritivas y refugio para animales como codornices, cardenales, cenzontle, y palomas durante el verano y temporada de anidación.","Se utilizan como horcones, vigas, leña, cercas y postes. Asi como de ornato, para dar sombra y para jardines xericos","1. Produce altos niveles de hojarasca, 2.Sin espinas, 3.Flores aromáticas, 4.Las vainas se abren aún cuando están en el árbol, 5.Las semillas tienen una marca en forma de U","Se debe procurar como un árbol de múltiples troncos. En general, seleccionar tres principales ramas estructurales para el apoyo de la copa y lentamente levantarla conforme madura el árbol. Remover retoños como sea necesario. Permita que parte de la hojarasca permanezca debajo de los árboles, pero evite la acumulación pesada.","Retire los retoños de la base según sea necesario. Para dar forma a un árbol, en invierno seleccione tres tallos principales y retire el resto, luego elimine gradualmente las ramas más bajas durante varios años en invierno. Este árbol no se ajustará a una forma específica, pero puede ser guiado.",Riega 1 o 2 veces al mes,No use un fertilizante de nitrógeno.,El riego excesivo puede ocasionar pudrición en las raices,"Gran contraste de textura cuando se plantan cerca de las formas puntiagudas de agave y cactus. Se adaptan a las plantaciones de jardín del suroeste junto con palo verde, mezquite y sauces del desierto.",Semillas,"Se recomienda el trasplante cuando la raiz tome forma, mantener un suelo no muy compacto para mayor facilidad a la hora de extraer la plántula, una vez establecida regar frecuentemente sin ahogar",Profunda,LC (Preocupación menor),
,,http://unibio.unam.mx/irekani/handle/123456789/36918?proyecto=Irekani,http://www.amwua.org/plants/pdb-plant-detail.php?plant_id=24,http://www.verarboles.com/Tepehuaje/tepehuaje.html,http://swbiodiversity.org/seinet/taxa/index.php?taxon=4159,https://www.houzz.com/ideabooks/72712112/list/10-essential-native-trees-for-southwestern-gardens,,https://gardenoracle.com/images/lysiloma-watsonii.html,https://www.civanonursery.com/wp-content/uploads/2016/11/1138.pdf,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=307,http://www.arboceta.com/plantas_silvestres.pdf,,https://davesgarden.com/guides/pf/go/69614/#b,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/lysilomawatsonii.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,"Palo fierro, palo de hierro, árbol de hierro, tesota, uña de gato",  Iron wood ,Fabaceae,Olneya tesota,Arbusto grande o árbol,"Abierto, extendido",5.00 a 8.00 m,7.5 m,Su tronco mide hasta 60 cm de diámetro en individuos muy viejos (2).,"Hojas compuestas: Alternas divididas (pinnadas) de 6 cm de largo, con 4 a 12 pares de foliolos angostamente elípticos  de 7 a 20 mm de largo. En la base de cada hoja tiene un par de pequeñas espinas curveadas.",Foliolos con margen entero,"Verde grisáceo, puberulentas",Las flores papiloniáceas de 10 a 12 mm de largo tienen 5 pétalos, Rosados o morados y teñidas de blanco cerca de las bases. ,Marzo-mayo,Vaina globosa de 3 a 6 cm de largo por 8 a 9 mm de ancho y con una a ocho semillas de 5 a 6 mm de diámetro que se abre al madurar,Café claro,Se producen en verano y maduran en agosto.,Grisáceo o pardo oscuro,Rugoso,"Matorral xerófilo. Matorral arbosubfrutescente, matorral crasicaule. Zonas áridas",Pleno sol,Bajo ,Lento,Perennifolio,Originaria de los desiertos del suroeste de Estados Unidos y norte de México,"Especies animales endémicas como el berrendo sonorense (Anulocapra americana), el borrego cimarrón (Ovis canadensis) y la codorniz mascarita (Colinus virginianus) dependen de la sombra, las ramas y el follaje que proporciona esta leguminosa.","Utilizada como planta de ornato en patios y jardines en regiones cálidas y secas. También se le usa como material de curación. Su madera seca, muerta en pie, se emplea por los Seris para elaborar artesanías.  Protector de suelos. Planta nodriza.","Es una planta de importancia étnobotánica para la étnia Comcaac. 
Cuenta con una alta resistencia a sequías y es mejoradora del suelo.
Importante generadora del efecto ""isla de fertilidad"".",Especie muy resistente a las heladas y altas temperaturas ,Pode según sea necesario para reforzar la estructura y la forma del árbol,Riega 1 o 2 veces al mes,No necesaria,La semilla es muy susceptible a ataque de larvas,"Cerdidium floridum, Olneya tesota, Acacia greggii, Dalea spinosa, Prosopis spp., Baccharis sarothroides, Celtis reticulata, Rhus microphylla, Juglans major, Fraxinus velutina, Bricckellia lacinata, Digitaria californica y Condalia lycoides. ",Semilla,"Protegerlas del viento e insolación, y con ello evitar su deshidratación",Profunda,NT (Casi amenazado),
,,http://www.lasecomujeres.org/files/mesa_rincon_viewweb_esp.pdf,,,"http://www.revistaciencias.unam.mx/es/185-revistas/revista-ciencias-43/1747-el-palo-fierro,-especie-clave-del-desierto-de-sonora.html",,,http://www.conafor.gob.mx:8080/documentos/docs/13/947Olneya%20tesota.pdf,2. https://www.biodiversidad.gob.mx/especies/especies_priori/fichas/pdf/paloFierro.pdf,http://www.biodiversidad.gob.mx/especies/especies_priori/fichas/pdf/paloFierro.pdf,http://www.biodiversidad.gob.mx/especies/especies_priori/fichas/pdf/paloFierro.pdf,,http://www.biodiversidad.gob.mx/especies/especies_priori/fichas/pdf/paloFierro.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,"Palo verde, espinillo, bagote, guacoporo",Mexican palo verde,Fabaceae,Parkinsonia aculeata,Árbol mediano,Aparasolada,5.00 -12.00 m,6.00 - 10.00 m,0.40 m,"Compuestas, bipinnadas, formadas por eje corto que termina en la espina",Foliolos con margen entero,Verde claro,Racimos,Amarillo con naranja,Marzo-Mayo,Vainas casi cilíndricas,Marron oscuro,Abril-Junio,Verde a marron,Lisa,"Vegetación semidesértica, principalmente en los valles desérticos y las zonas de pastizales desérticos, a elevaciones de hasta 1.300 metros en los subtrópicos y hasta 2.400 metros en los trópicos",Pleno sol,Bajo,Moderado,Caducifolio, De México al norte de América del Sur,"Ha sido reportada como planta hospedera de las mariposas Cyanophrys miserabilis, Eurema albula.",Follaje y frutos se utilizan para ganado.,El árbol se utiliza para el control de la erosión y la reforestación en áreas arenosas y áridas.,"Es tolerante a la sequía, el anegamiento y las condiciones salinas","Leve,  elimine los retoños del tronco a fines de la primavera, estaque vigorosamente los árboles jóvenes. ",Poco,No necesaria,Usualmente en los troncos de esta especie habra hormigas pero no son consideradadas como plaga,"Se mezclan bien con otras plantas del desierto, como palo fierro y mezquite",Semillas y esquejes,"Protegerlas del viento e insolación, y con ello evitar su deshidratación",Profunda,LC (Preocupación menor),
,,http://swbiodiversity.org/seinet/taxa/index.php?taxon=1411,https://delange.org/PaloVerdeMexican/PaloVerdeMexican.htm,http://tropical.theferns.info/viewtropical.php?id=Parkinsonia+aculeata,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/parkinsoniaaculeata.html,http://www.worldagroforestry.org/treedb/AFTPDFS/Parkinsonia_aculeata.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Palo verde azul,Blue palo verde,Fabaceae,Parkinsonia florida (Cercidium floridum subsp. floridum)                   Fecha de conversión: mayo-2019,Árbol mediano,Irregular,8.00-12.00 m,6.00 - 10.00 m,0.40 m,"Compuestas, pinnadas con un solo par de pinnas",Foliolos con margen entero,Verde azulado,Racimos terminales," Amarillo brillante, pancarta con pequeños puntos naranja-rojos",Febrero -Mayo,Vaina aplanada,Marron,Mayo-Junio,Verde azulado,"Lisa, relativamente fina","Bosque espinoso, matorral xerófilo.",Pleno sol,Bajo,Rapido a moderado,Caducifolio,Nativo del suroeste de Estados Unidos y el norte de México,"Atrae a las abejas cuando está en flor y es un hábitat para las aves durante todo el año. Los árboles de Palo verde sirven como plantas nodrizas para los cactus saguaro al proporcionar un dosel, en efecto, un microhábitat, que ofrece calor en invierno y sombra en verano.","Es utilizado en la dasonomía urbana y suburbana del Estado de Baja California, se considera como una especie forrajera deseable en algunos sitios de matorrales.","No se debe retirar más del 30% del follaje durante el verano, ya que puede provocar quemaduras por el sol propensas a ser invadidas por barrenadores y provocar la muerte de la planta.","El deshierbe continuo evitará problemas de competencia por luz, agua y nutrientes; además favorecerá condiciones de sanidad.",Regular para dar forma y reforzar la estructura,Moderado, Abonar con un aporte anual de fertilizante mineral,"Los ácaros pueden atacar causando la  producción de racimos densos de pequeñas ramas que surgen a lo largo de la rama o en la punta. El muérdago también puede infestar estos árboles. Derobrachus geminatus es la única plaga de insectos letales, pero tiende a atacar solamente árboles estresados o en declive. Phymatotrichopsis omnivora  causa una infección fúngica que causa la enfermedad de los árboles de palo verde.","Se mezclan bien con otras plantas del desierto, como palo fierro y mezquite",Semillas,"Un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas",Profunda,-,
,,http://swbiodiversity.org/seinet/taxa/index.php?taxon=1412,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/parkinsoniaflorida.html,http://www.aridzonetrees.com/assets/ceflo05.pdf,http://www.conafor.gob.mx:8080/documentos/docs/13/948Parkinsonia%20florida.pdf,https://repository.arizona.edu/bitstream/handle/10150/554229/dp_08_03-099-103.pdf?sequence=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Palo verde híbrido,Parkinsonia hybrid: 'desert museum' / hybrid palo verde,Fabaceae,Parkinsonia hybridum,Árbol,Irregular (2).,6.00- 10.00 m,6.00- 12.00 m,0.30 m,"Compuestas: pinnadas, paripinnada (3).",Foliolos con margen entero,Verde claro,"Flores vistosas de 5 pétalos, aproximadamente de 5.00 cm de largo. Pétalos en forma de embudo (1).",Amarillas ,Primavera (marzo-junio). Floraciones más tardías en elevaciones más altas. La floración intermitente puede continuar hasta mediados o finales del otoño (1).,"Vaina ( varían de pocos a muchos, dependiendo de la variedad) (1).",Marrón claro (1).,Abril/mayo,Tallo amarillo-verde (1).,"Lisa, sin espinas o espinas débiles y no afiladas (1).","El híbrido natural de primera generación, entre el palo verde de México (aculeata) y el amarillo (mycrophilla), se encuentra principalmente en áreas perturbadas alrededor de Tucson y otras ciudades del desierto. Esto se debe a que el palo verde mexicano se introdujo en Arizona y rara vez se encuentra en el desierto natural (5).",Pleno sol (1).,Bajo,Moderado a rápido dependiendo de la disponinilidad del agua (1).,Semicaducifolio: Deciduo durante el frio y sequías (2).," California, Nevada, Arizona, México (1).","Raices fijadoras de nitrógeno. Semillas atraen aves y pequeños mamíferos (1). Polinizado solo por abejas, numerosas especies, de las cuales unas pocas son especialistas en palo verdes (5).","Ornamental, sombra filtrada, paisajístico (1).","Los híbridos son cruces entre las especies azul, amarilla y algunas veces mexicana de Palo Verde (1). Desert Museum Palo Verde es un híbrido con tres padres que combina las cualidades más deseables de cada uno. Se destaca de otras variedades de Palo Verde con un hábito de crecimiento claramente vertical, un color verde más brillante, ramas sin espinas y un período de floración más largo (2).","Suelo bien drenado, pH 5.6-8.5 (ácido a alcalino) (1).",Eliminar las ramas más bajas en clima cálido. Se recomienda la temporada de crecimiento cuando las ramas de los árboles son más flexibles (1).,Profundamente una vez al mes. El agua suplementaria mejora la tasa de crecimiento (1).,No utilice un fertilizante nitrogenado (1).,"Periódicamente, las plagas de insectos pueden ser un problema en algunos árboles del desierto. En árboles jóvenes, la infestación de insectos puede disminuir el crecimiento estacional típico. Inspeccione los árboles durante la temporada de crecimiento en busca de insectos chupadores comunes como los áfidos, el trips, las moscas blancas o los psílidos. Durante los meses secos, (mayo y junio) en condiciones de polvo, pueden aparecer ácaros (3).","La lantana dorada y la lantana púrpura ( Lantana montevidensis ) hacen adiciones hermosas al paisaje árido, pero aprecian cierto alivio del sol del desierto.  La salvia de otoño ( Salvia greggii ) se ve hermosa plantada alrededor de la base del árbol y apreciará la sombra filtrada durante el verano (6).","Semillas, clones (1).",Requiere suelo bien drenado. Riegue regularmente y profundamente durante la primera temporada de crecimiento para establecer un extenso sistema de raíces. Tolerante a la sequía cuando se establece. Pasa por forma y estructura después de la floración (4).,Profundas (4).,-,
